File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_5.py,0.0,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['import sys\n\nt = int(sys.stdin.readline())\n\nfor _ in range(t):\n    n = int(sys.stdin.readline())\n    b = list(map(int, sys.stdin.readline().split()))\n    \n    dp = [[0] * (max(b) + 1) for _ in range(n + 1)]\n    \n    for i in range(1, n + 1):\n        for prev_val in range(1, b[i - 1] + 1):\n            total = b[i - 1] - prev_val\n            if total in b[:i]:\n                dp[i][prev_val] = 1\n    \n    for i in range(n + 1):\n        for j in range(max(b) + 1):\n            if dp[i][j] == 0:\n                continue\n            for k in range(j, max(b) + 1):\n                total = sum(b[:k])\n                if total in b and i - 1 > 0 and dp[i - 1][total]:\n                    print(""YES"")\n                    sys.exit(0)\n    \n    print(""NO"")', 'import sys\n\nt = int(sys.stdin.readline())\n\nfor _ in range(t):\n    n = int(sys.stdin.readline())\n    b = list(map(int, sys.stdin.readline().split()))\n    \n    dp = [[0] * (max(b) + 1) for _ in range(n + 1)]\n    \n    for i in range(1, n + 1):\n        for prev_val in range(1, b[i - 1] + 1):\n            total = b[i - 1] - prev_val\n            if total in b[:i]:\n                dp[i][prev_val] = 1\n    \n    for i in range(n + 1):\n        for j in range(max(b) + 1):\n            if dp[i][j] == 0:\n                continue\n            for k in range(j, max(b) + 1):\n                total = sum(b[:k])\n                if total in b and i - 1 > 0 and dp[i - 1][total]:\n                    print(""YES"")\n                    sys.exit(0)\n    \n    print(""NO"")', 'import sys\n\nt = int(sys.stdin.readline())\n\nfor _ in range(t):\n    n = int(sys.stdin.readline())\n    b = list(map(int, sys.stdin.readline().split()))\n    \n    dp = [[0] * (max(b) + 1) for _ in range(n + 1)]\n    \n    for i in range(1, n + 1):\n        for prev_val in range(1, b[i - 1] + 1):\n            total = b[i - 1] - prev_val\n            if total in b[:i]:\n                dp[i][prev_val] = 1\n    \n    for i in range(n + 1):\n        for j in range(max(b) + 1):\n            if dp[i][j] == 0:\n                continue\n            for k in range(j, max(b) + 1):\n                total = sum(b[:k])\n                if total in b and i - 1 > 0 and dp[i - 1][total]:\n                    print(""YES"")\n                    sys.exit(0)\n    \n    print(""NO"")', 'import sys\n\nt = int(sys.stdin.readline())\n\nfor _ in range(t):\n    n = int(sys.stdin.readline())\n    b = list(map(int, sys.stdin.readline().split()))\n    \n    dp = [[0] * (max(b) + 1) for _ in range(n + 1)]\n    \n    for i in range(1, n + 1):\n        for prev_val in range(1, b[i - 1] + 1):\n            total = b[i - 1] - prev_val\n            if total in b[:i]:\n                dp[i][prev_val] = 1\n    \n    for i in range(n + 1):\n        for j in range(max(b) + 1):\n            if dp[i][j] == 0:\n                continue\n            for k in range(j, max(b) + 1):\n                total = sum(b[:k])\n                if total in b and i - 1 > 0 and dp[i - 1][total]:\n                    print(""YES"")\n                    sys.exit(0)\n    \n    print(""NO"")']","[0, 0, 0, 0]"
code_53.py,0.0,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['NO\nYES', 'NO\nNO\nNO\nYES', 'NO\nYES', 'NO\nNO\nYES']","[0, 0, 0, 0]"
code_67.py,0.0,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['', '', '', '']","[0, 0, 0, 0]"
code_36.py,0.75,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['NO\nNO\nNO\nNO\nNO\nNO\nNO', 'NO', 'NO', 'NO']","[0, 1, 1, 1]"
code_44.py,0.0,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['', '', '', '']","[0, 0, 0, 0]"
code_15.py,0.0,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['YES\nYES\nYES\nYES\nYES\nYES\nYES', 'YES', 'YES', 'YES']","[0, 0, 0, 0]"
code_21.py,0.75,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['YES\nNO\nNO\nNO\nNO\nNO\nNO', 'NO', 'NO', 'NO']","[0, 1, 1, 1]"
code_70.py,0.75,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['NO\nNO\nNO\nNO\nNO\nNO\nNO', 'NO', 'NO', 'NO']","[0, 1, 1, 1]"
code_60.py,0.75,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['NO\nNO\nNO\nNO\nNO\nNO\nNO', 'NO', 'NO', 'NO']","[0, 1, 1, 1]"
code_31.py,0.0,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['', '', '', '']","[0, 0, 0, 0]"
code_2.py,0.75,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['NO\nNO\nNO\nNO\nNO\nNO\nYES', 'NO', 'NO', 'NO']","[0, 1, 1, 1]"
code_54.py,0.5,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['NO\nNO\nNO\nYES\nNO\nNO\nYES', 'NO', 'NO', 'YES']","[0, 1, 1, 0]"
code_74.py,0.0,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['', '', '', '']","[0, 0, 0, 0]"
code_25.py,0.0,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['YES\nYES\nYES\nYES\nYES\nYES\nYES', 'YES', 'YES', 'YES']","[0, 0, 0, 0]"
code_11.py,0.5,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['NO\nNO\nNO\nNO\nNO\nNO\nYES', 'NO', 'NO', 'YES']","[0, 1, 1, 0]"
code_40.py,0.0,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['YES\nYES\nNO\nYES\nNO\nYES\nYES', 'YES', 'YES', 'YES']","[0, 0, 0, 0]"
code_50.py,0.0,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['', '', '', '']","[0, 0, 0, 0]"
code_6.py,0.0,[],[],[]
code_35.py,0.75,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['NO\nNO\nNO\nNO\nNO\nNO\nNO', 'NO', 'NO', 'NO']","[0, 1, 1, 1]"
code_64.py,0.0,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['', '', '', '']","[0, 0, 0, 0]"
code_24.py,0.75,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['NO\nNO\nNO\nNO\nNO\nNO\nNO', 'NO', 'NO', 'NO']","[0, 1, 1, 1]"
code_10.py,0.75,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['NO\nNO\nNO\nNO\nNO\nNO\nNO', 'NO', 'NO', 'NO']","[0, 1, 1, 1]"
code_41.py,0.75,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['NO\nNO\nNO\nNO\nNO\nNO\nNO', 'NO', 'NO', 'NO']","[0, 1, 1, 1]"
code_51.py,0.75,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['', 'NO', 'NO', 'NO']","[0, 1, 1, 1]"
code_7.py,0.75,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['NO\nNO\nNO\nNO\nNO\nNO\nYES', 'NO', 'NO', 'NO']","[0, 1, 1, 1]"
code_34.py,0.75,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['NO\nNO\nNO\nNO\nNO\nNO\nNO', 'NO', 'NO', 'NO']","[0, 1, 1, 1]"
code_65.py,0.75,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['NO\nNO\nNO\nNO\nNO\nNO\nNO', 'NO', 'NO', 'NO']","[0, 1, 1, 1]"
code_45.py,0.0,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['', '', '', '']","[0, 0, 0, 0]"
code_14.py,0.75,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['NO', 'NO', 'NO', 'NO']","[0, 1, 1, 1]"
code_20.py,0.75,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['NO\nNO\nNO\nNO\nNO\nNO\nNO', 'NO', 'NO', 'NO']","[0, 1, 1, 1]"
code_71.py,0.5,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['NO\nNO\nNO\nNO\nNO\nNO\nYES', 'NO', 'NO', 'YES']","[0, 1, 1, 0]"
code_61.py,0.0,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['', '', '', '']","[0, 0, 0, 0]"
code_30.py,0.5,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['NO\nNO\nYES\nYES\nYES\nNO\nYES', 'NO', 'NO', 'YES']","[0, 1, 1, 0]"
code_3.py,0.0,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['', '', '', '']","[0, 0, 0, 0]"
code_55.py,0.5,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['NO\nNO\nNO\nNO\nYES\nNO\nYES', 'NO', 'NO', 'YES']","[0, 1, 1, 0]"
code_8.py,0.0,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['', '', '', '']","[0, 0, 0, 0]"
code_9.py,0.0,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['', '', '', '']","[0, 0, 0, 0]"
